caseId	opis	wariant	kategoria	dniOdDostawy	kwota	ilosc	powod	abuseScore	decision	reasons	refund
L01	default: dzien przed koncem okna	ok	inne	13	100.00	1	CHANGED_MIND	0.00	AUTO_APPROVED	WITHIN_POLICY	100.00
L02	default: OSTATNI dzien okna	ok	inne	14	100.00	1	CHANGED_MIND	0.00	REJECTED	WINDOW_EXPIRED	0
L03	default: pierwszy dzien PO oknie	ok	inne	15	100.00	1	CHANGED_MIND	0.00	REJECTED	WINDOW_EXPIRED	0
L04	elektronika: ostatni dzien okna	ok	elektronika	30	100.00	1	CHANGED_MIND	0.00	REJECTED	WINDOW_EXPIRED	0
L05	elektronika: dzien po oknie	ok	elektronika	31	100.00	1	CHANGED_MIND	0.00	REJECTED	WINDOW_EXPIRED	0
L06	kategoria wykluczona	ok	oprogramowanie-cyfrowe	1	100.00	1	DAMAGED	0.00	REJECTED	CATEGORY_EXCLUDED	0
L07	dokladnie prog kwotowy	ok	inne	1	2000.00	1	CHANGED_MIND	0.00	AUTO_APPROVED	WITHIN_POLICY	2000.00
L08	tuz powyzej progu kwotowego	ok	inne	1	2001.00	1	CHANGED_MIND	0.00	MANUAL_REVIEW	AMOUNT_ABOVE_THRESHOLD	2001.00
L09	prog przegladu naduzyc	ok	inne	1	100.00	1	CHANGED_MIND	0.30	MANUAL_REVIEW	ABUSE_BORDERLINE	100.00
L10	prog odrzucenia naduzyc	ok	inne	1	100.00	1	CHANGED_MIND	0.60	REJECTED	ABUSE_SUSPECTED	0
L11	po oknie ORAZ powyzej progu	ok	inne	30	3000.00	1	CHANGED_MIND	0.00	REJECTED	AMOUNT_ABOVE_THRESHOLD,WINDOW_EXPIRED	0
L12	dzien zero - zgloszenie w dniu dostawy	ok	inne	0	100.00	1	DAMAGED	0.00	AUTO_APPROVED	WITHIN_POLICY	100.00
L13	prog kwotowy przekroczony iloscia, nie cena	ok	inne	1	700.00	3	CHANGED_MIND	0.00	MANUAL_REVIEW	AMOUNT_ABOVE_THRESHOLD	2100.00
L14	brak zamowienia (null)	brak-zamowienia	inne	1	100.00	1	CHANGED_MIND	0.00	REJECTED	INVALID_INPUT	null
L15	brak zgloszenia (null)	brak-zgloszenia	inne	1	100.00	1	CHANGED_MIND	0.00	REJECTED	INVALID_INPUT	null
L16	zgloszenie bez pozycji (pusta lista)	pusta-lista	inne	1	100.00	1	CHANGED_MIND	0.00	AUTO_APPROVED	WITHIN_POLICY	0
L17	SKU ze zgloszenia nie ma w zamowieniu	inne-sku	inne	1	100.00	1	CHANGED_MIND	0.00	AUTO_APPROVED	WITHIN_POLICY	0
